,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
353,Casonato Rober,Rally4,4,Prealpi,10/12/2023,gravel,-,39,369.4,361.1,319.2,50.19999999999999,8.299999999999955,2.298532262531142,04
354,De Tisi Pietro,Rally4,4,Prealpi,10/12/2023,gravel,-,41,370.3,361.1,319.2,51.10000000000002,9.199999999999989,2.5477707006369394,04
355,Pintarelli Mat,Rally4,4,Prealpi,10/12/2023,gravel,-,42,371.0,361.1,319.2,51.80000000000001,9.899999999999977,2.74162281916366,04
356,Mazzonelli A. ,Rally4,4,Prealpi,10/12/2023,gravel,-,46,374.1,361.1,319.2,54.900000000000034,13.0,3.6001107726391575,04
357,Pagnan Alex  -,Rally4,4,Prealpi,10/12/2023,gravel,-,47,374.3,361.1,319.2,55.10000000000002,13.199999999999989,3.6554970922182184,04
358,Rossetto Osvy ,Rally4,4,Prealpi,10/12/2023,gravel,-,48,374.9,361.1,319.2,55.69999999999999,13.799999999999955,3.821656050955401,04
359,Lovisetto Gian,Rally4,4,Prealpi,10/12/2023,gravel,-,49,375.1,361.1,319.2,55.900000000000034,14.0,3.877042370534477,04
360,Callegaro Ricc,Rally4,4,Prealpi,10/12/2023,gravel,-,51,375.7,361.1,319.2,56.5,14.599999999999966,4.04320132927166,04
361,Puppato Albert,Rally4,4,Prealpi,10/12/2023,gravel,-,54,376.3,361.1,319.2,57.10000000000002,15.199999999999989,4.209360288008859,04
362,Stevanato Elia,Rally4,4,Prealpi,10/12/2023,gravel,-,56,379.1,361.1,319.2,59.900000000000034,18.0,4.984768762115757,04
363,Moretto Federi,Rally4,4,Prealpi,10/12/2023,gravel,-,59,381.6,361.1,319.2,62.400000000000034,20.5,5.677097756854057,04
364,Strabello Paol,Rally4,4,Prealpi,10/12/2023,gravel,-,61,382.8,361.1,319.2,63.60000000000002,21.69999999999999,6.009415674328437,04
365,Roncadori Stef,Rally4,4,Prealpi,10/12/2023,gravel,-,64,383.9,361.1,319.2,64.69999999999999,22.799999999999955,6.314040432013279,04
366,Foffano Cristi,Rally4,4,Prealpi,10/12/2023,gravel,-,69,387.3,361.1,319.2,68.10000000000002,26.19999999999999,7.255607864857376,04
367,De Sanctis F. ,Rally4,4,Prealpi,10/12/2023,gravel,-,90,426.1,361.1,319.2,106.90000000000003,65.0,18.00055386319579,04
368,Gabrici Fabio ,Rally4,4,Prealpi,10/12/2023,gravel,-,91,428.1,361.1,319.2,108.90000000000003,67.0,18.55441705898643,04
369,Spagnol Jason ,Rally4/R2,4,Prealpi,10/12/2023,gravel,-,33,365.2,365.2,319.2,46.0,0.0,0.0,04
370,Possamai Alex ,Rally4/R2,4,Prealpi,10/12/2023,gravel,-,44,371.4,365.2,319.2,52.19999999999999,6.199999999999989,1.6976998904709717,04
371,Cappellati Rud,Rally4/R2,4,Prealpi,10/12/2023,gravel,-,45,372.6,365.2,319.2,53.400000000000034,7.400000000000034,2.0262869660460114,04
372,Casarotto Andr,Rally4/R2,4,Prealpi,10/12/2023,gravel,-,53,376.0,365.2,319.2,56.80000000000001,10.800000000000011,2.95728368017525,04
