,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#79,Cunha Ernesto  - Raimundo Rui Peugeot 208 Rally4,RC4,-,-,-,-,-,-,-,-,20:23.0,43:05.5,7:11.1,20:26.3,29:13.4 [N],7:05.0,3:02.7,-,-,-,-
#79,Cunha Ernesto  - Raimundo Rui Peugeot 208 Rally4  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#8,Tänak Ott  - Järveoja Martin Ford Puma Rally1,RC1 M,9:05.0,12:59.3,11:52.1,9:50.4,13:11.8,12:02.0,12:01.3,2:30.5,17:08.9,24:36.6,6:05.1,17:11.6,24:58.9,6:01.4,2:35.5,8:07.2,6:42.5,13:48.5,6:27.2
#80,Gabeiras Fraga I.  - Varela Villamor A. Peugeot 208 Rally4,RC4,-,-,-,-,-,-,-,-,19:50.0,31:42.8,6:56.8,20:15.3,29:03.4 [N],6:56.5,3:10.4,-,-,-,-
#80,Gabeiras Fraga I.  - Varela Villamor A. Peugeot 208 Rally4  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#81,Sousa Ricardo  - Marques Luís Peugeot 208 Rally4,RC4,-,-,-,-,-,-,-,-,20:10.3,28:38.4,7:00.4,20:10.9,28:38.4 [N],7:13.0,3:01.7,-,-,-,-
#81,Sousa Ricardo  - Marques Luís Peugeot 208 Rally4  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#82,Mesquita Hugo  - Cardoso Valter Renault Clio Rally4,RC4,-,-,-,-,-,-,-,-,21:34.8,30:37.1,7:35.3,21:58.3,30:37.1 [N],7:21.1,3:08.3,-,-,-,-
#82,Mesquita Hugo  - Cardoso Valter Renault Clio Rally4  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#83,Nunes Daniel  - Costa Liliana Renault Clio Rally4  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#84,Henriques Gonçalo  - Cunha G. Renault Clio Rally4,RC4,-,-,-,-,-,-,-,-,20:30.6,33:45.5,7:09.5,20:36.3,29:03.4 [N],7:05.0,3:08.0,-,-,-,-
#84,Henriques Gonçalo  - Cunha G. Renault Clio Rally4  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#85,Cardeira Rafael  - Boiça Luís Renault Clio RS R3T,RC4,-,-,-,-,-,-,-,-,21:24.3,30:55.0,7:31.8,21:41.6,30:55.0 [N],7:38.5,3:11.8,-,-,-,-
#85,Cardeira Rafael  - Boiça Luís Renault Clio RS R3T  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#86,Gómez Fortes G.  - González Diz D. Toyota GR Yaris RZ,NAT,12:50.1,18:55.6,17:46.8,12:39.2,19:51.7,17:46.8 [N],18:24.1,3:12.7,24:47.0,41:35.5,17:50.4,-,-,-,-,-,-,-,-
#87,Korzun Anton  - Kononov Pavlo Peugeot 208 Rally4,RC4,-,-,-,-,-,-,-,-,20:32.1,-,-,-,-,-,-,-,-,-,-
