,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
#59,Fontana Matteo - Arnaboldi A. Peugeot 208 Rally4  [SR],RC4,-,-,-,-,-,28:32.4 [N],16:59.4 [N],16:37.1 [N],-,-,-,-,-,-,-,-,-,-,-,-
#60,Oldani Marco - D'Agostino Pietro Peugeot 208 Rally4,RC4,15:40.9,18:25.9,6:49.6,6:02.7,15:27.7,18:32.4,6:59.4,6:43.2,15:53.0,5:35.8,7:27.8,10:01.1,16:03.4,5:38.2,7:32.0,10:41.7,8:41.3,10:21.7,8:27.0,10:06.2
#61,Jürgenson Romet - Oja Siim Ford Fiesta Rally4,RC4,15:50.7,18:42.6,6:50.5,5:53.9,15:10.2,19:09.7,6:59.8,6:42.9,16:03.9,5:40.5,7:40.8,10:27.6,15:53.6,5:33.5,7:54.7,10:51.5,8:52.8,10:28.4,8:40.1,10:08.6
#62,Medved Jan - Šavelj Izidor Opel Corsa Rally4,RC4,14:49.0,18:09.2,6:49.5,5:56.5,14:30.9,18:32.4,7:00.0,6:37.1,-,-,-,-,-,-,-,-,8:51.0,10:30.8,8:40.7,10:07.9
#62,Medved Jan - Šavelj Izidor Opel Corsa Rally4  [SR],RC4,-,-,-,-,-,-,-,-,25:48.4 [N],15:34.3 [N],17:27.8 [N],20:01.1 [N],25:32.2 [N],15:31.7 [N],17:14.0 [N],20:27.1,-,-,-,-
#64,Hrvatin Tomas - Simčić Djani Renault Clio Rally4,RC4,15:54.0,18:24.7,6:41.0,5:58.3,15:25.7,19:10.6,7:08.7,7:03.5,16:49.4,5:43.1,7:42.8,10:11.4,16:46.6,5:44.2,7:58.4,11:10.9,9:00.3,10:33.5,8:54.7,10:20.8
#65,Magličić Željko - Poljak Ivan Ford Fiesta Rally4,RC4,15:49.9,18:51.8,6:58.0,6:13.7,15:39.0,19:17.4,7:11.4,6:43.8,16:45.6,5:45.9,8:03.7,10:47.9,16:46.8,5:47.1,8:11.4,11:35.6,9:06.1,10:38.9,8:58.9,10:28.0
#66,Pokos Jan - Ošlaj Viljem Peugeot 208 Rally4,RC4,15:56.9,20:40.8,7:22.4,6:19.1,15:52.6,19:54.5,7:17.7,7:04.0,16:07.0,5:34.3,7:51.7,10:29.4,15:59.0,5:31.7,7:52.5,11:12.9,8:53.4,10:27.8,8:34.0,10:11.2
#67,Lončarić Marko - Krnjić Gabrijel Renault Clio Rally4,RC4,18:18.9,21:54.4,7:54.3,7:13.4,17:58.7,22:16.3,8:18.7,8:03.4,19:29.8,6:37.4,8:49.8,11:43.9,19:17.0,6:34.7,9:09.7,13:01.2,9:48.6,12:08.3,9:38.0,11:37.1
#68,Čičko Vjekoslav - Kokolić Eugen Renault Clio Rally5,RC5,17:04.3,20:33.6,7:49.6,6:49.5,17:06.9,21:04.5,8:11.9,7:25.7,18:56.4,6:18.7,8:31.0,11:40.9,18:34.4,6:20.4,8:38.8,12:31.6,9:56.1,12:06.4,9:44.9,11:51.7
#69,Rovanperä Kalle - Halttunen Jonne Toyota GR Yaris Rally1,RC1 M,12:09.0,17:35.5,5:38.9,4:52.8,12:12.6,15:45.6,5:31.1,4:57.2,12:43.6,4:30.3,5:47.9,8:23.6,12:56.6,4:33.1,5:50.6,8:28.7,6:56.5,8:09.1,7:02.5,8:07.4
#7,Loubet Pierre-Louis - Gilsoul N. Ford Puma Rally1,RC1 M,12:28.0,15:35.9,5:38.5,4:53.7,12:19.8,16:15.3,5:37.7,5:06.4,12:53.0,4:35.4,6:05.1,8:34.6,13:01.1,4:37.5,6:13.3,8:42.5,7:37.7,8:30.9,7:39.9,8:50.6
#70,Šekuljica Slaven - Petrović Damir Renault Clio Rally5,RC5,-,-,-,-,-,-,-,-,18:54.5,6:33.8,8:38.5,12:11.1,19:17.5,6:29.8,8:43.2,13:20.9,9:28.2,11:45.0,9:41.3,11:41.2
#70,Šekuljica Slaven - Petrović Damir Renault Clio Rally5  [SR],RC5,26:59.9 [N],29:23.9 [N],17:18.7 [N],16:23.2 [N],26:28.5 [N],30:05.9 [N],17:39.6 [N],17:25.7 [N],-,-,-,-,-,-,-,-,-,-,-,-
#71,Mandić Igor - Ivančić Albert Renault Clio Rally5,RC5,16:59.9,19:23.9,7:18.7,6:23.2,16:28.5,20:05.9,7:39.6,7:33.9,17:31.2,6:09.6,8:11.5,10:48.3,17:48.4,6:06.7,8:27.8,11:54.0,9:22.6,11:07.1,9:19.7,11:16.8
#8,Tänak Ott - Järveoja Martin Ford Puma Rally1,RC1 M,12:08.2,15:30.2,5:34.6,4:49.5,12:12.6,15:50.3,5:29.1,4:57.9,12:44.8,4:30.9,5:59.5,8:31.5,12:55.4,4:32.2,6:02.0,8:42.4,7:06.4,8:19.7,7:06.1,8:18.0
