,Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
38,39, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:09:59.5,+00:01:28.8,5
39,40, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:09:59.5,+00:01:28.8,5
40,41, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:10:00.7,+00:01:30,5
41,42, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:10:02.1,+00:01:31.4,5
42,43, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:10:02.6,+00:01:31.9,5
43,44, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:10:04,+00:01:33.3,5
44,45, Eric ROYERE Gilbert DINI,Alpine A110,64,00:10:05.5,+00:01:34.8,5
45,46, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:10:06.1,+00:01:35.4,5
46,47, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:10:10.3,+00:01:39.6,5
47,48, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:10:13.9,+00:01:43.2,5
48,49, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:10:14.1,+00:01:43.4,5
49,50, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:10:15.5,+00:01:44.8,5
50,51, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:10:19.5,+00:01:48.8,5
51,52, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:10:23.5,+00:01:52.8,5
52,53, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:10:31.1,+00:02:00.4,5
53,54, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:10:31.8,+00:02:01.1,5
54,55, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:10:35.2,+00:02:04.5,5
55,56, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:10:40.2,+00:02:09.5,5
56,57, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:10:44.1,+00:02:13.4,5
57,58, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:10:44.4,+00:02:13.7,5
58,59, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:10:45.6,+00:02:14.9,5
59,60, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:10:47.2,+00:02:16.5,5
60,61, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:10:48.2,+00:02:17.5,5
61,62, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:11:04.8,+00:02:34.1,5
62,63, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:11:10.2,+00:02:39.5,5
63,64, Richard FRAU Stephane MARQUEZ,Alpine A110,63,00:11:22.9,+00:02:52.2,5
64,65, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:11:45.3,+00:03:14.6,5
65,66, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:12:00.1,+00:03:29.4,5
66,67, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:12:10.6,+00:03:39.9,5
67,68, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:12:16.7,+00:03:46,5
68,69, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:13:06.3,+00:04:35.6,5
69,70, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:18:52.4,+00:10:21.7,5
70,71, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:18:52.4,+00:10:21.7,5
71,72, Pierre PERGOLA Fabrice CORONA,Volkswagen Polo GTI,62,00:19:24.4,+00:10:53.7,5
72,73, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:19:49.8,+00:11:19.1,5
73,74, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:19:59.5,+00:11:28.8,5
0,1, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:09:49.3,+00:00:00,6
1,2, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:09:49.8,+00:00:00.5,6
2,3, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:09:51.3,+00:00:02,6
3,4, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:09:53.1,+00:00:03.8,6
4,5, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:09:53.5,+00:00:04.2,6
5,6, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:09:53.7,+00:00:04.4,6
6,7, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:09:57.8,+00:00:08.5,6
7,8, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:10:04.5,+00:00:15.2,6
8,9, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:10:15.8,+00:00:26.5,6
9,10, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:10:19.7,+00:00:30.4,6
10,11, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:10:24.7,+00:00:35.4,6
11,12, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:10:26.6,+00:00:37.3,6
12,13, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:10:27.9,+00:00:38.6,6
13,14, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:10:28.1,+00:00:38.8,6
14,15, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:10:29.3,+00:00:40,6
15,16, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:10:30.4,+00:00:41.1,6
16,17, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:10:31.3,+00:00:42,6
17,18, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:10:31.8,+00:00:42.5,6
18,19, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:10:36.3,+00:00:47,6
19,20, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:10:36.4,+00:00:47.1,6
20,21, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:10:41.3,+00:00:52,6
21,22, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:10:42.1,+00:00:52.8,6
22,23, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:10:50.4,+00:01:01.1,6
23,24, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:10:56.7,+00:01:07.4,6
24,25, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:10:58.5,+00:01:09.2,6
25,26, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:10:58.8,+00:01:09.5,6
26,27, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:10:59.4,+00:01:10.1,6
27,28, Alessandro GINO Daniele MICHI,Citroen C3,53,00:11:02.6,+00:01:13.3,6
28,29, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:11:10.2,+00:01:20.9,6
29,30, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:11:10.7,+00:01:21.4,6
30,31, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:11:12.1,+00:01:22.8,6
31,32, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:11:13.1,+00:01:23.8,6
32,33, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:11:15.2,+00:01:25.9,6
33,34, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,00:11:17.1,+00:01:27.8,6
34,35, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:11:19.4,+00:01:30.1,6
35,36, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:11:22.8,+00:01:33.5,6
36,37, Eamonn BOLAND MJ ,Citroen C3,42,00:11:31,+00:01:41.7,6
37,38, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:11:31.4,+00:01:42.1,6
38,39, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:11:32.8,+00:01:43.5,6
39,40, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:11:35.1,+00:01:45.8,6
40,41, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:11:35.5,+00:01:46.2,6
41,42, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:11:35.8,+00:01:46.5,6
42,43, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:11:37.2,+00:01:47.9,6
43,44, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:11:38.1,+00:01:48.8,6
44,45, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:11:39,+00:01:49.7,6
45,46, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:11:40.4,+00:01:51.1,6
46,47, Eric ROYERE Gilbert DINI,Alpine A110,64,00:11:42.6,+00:01:53.3,6
47,48, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:11:46.2,+00:01:56.9,6
48,49, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:11:54.1,+00:02:04.8,6
49,50, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:12:03.9,+00:02:14.6,6
50,51, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:12:06.9,+00:02:17.6,6
51,52, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:12:07.4,+00:02:18.1,6
52,53, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:12:08.7,+00:02:19.4,6
53,54, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:12:19.3,+00:02:30,6
54,55, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:12:22.3,+00:02:33,6
55,56, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:12:24.8,+00:02:35.5,6
56,57, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:12:25.2,+00:02:35.9,6
57,58, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:12:31.3,+00:02:42,6
58,59, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:12:32.9,+00:02:43.6,6
59,60, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:12:39.1,+00:02:49.8,6
60,61, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:12:42.7,+00:02:53.4,6
61,62, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:12:46.7,+00:02:57.4,6
62,63, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:12:47.5,+00:02:58.2,6
63,64, Richard FRAU Stephane MARQUEZ,Alpine A110,63,00:12:58.5,+00:03:09.2,6
64,65, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:13:37.9,+00:03:48.6,6
65,66, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:14:07.1,+00:04:17.8,6
66,67, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:14:24,+00:04:34.7,6
67,68, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:20:15.8,+00:10:26.5,6
68,69, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:20:15.8,+00:10:26.5,6
69,70, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:20:15.8,+00:10:26.5,6
70,71, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:21:19.4,+00:11:30.1,6
71,72, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:21:31.4,+00:11:42.1,6
72,73, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:21:31.4,+00:11:42.1,6
73,74, Pierre PERGOLA Fabrice CORONA,Volkswagen Polo GTI,62,,+,6
0,1, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:11:38.7,+00:00:00,7
1,2, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:11:40.3,+00:00:01.6,7
2,3, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:11:41.8,+00:00:03.1,7
3,4, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:11:42,+00:00:03.3,7
4,5, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:11:42.9,+00:00:04.2,7
5,6, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:11:46.2,+00:00:07.5,7
6,7, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:11:49.6,+00:00:10.9,7
7,8, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:11:55,+00:00:16.3,7
8,9, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:12:10.2,+00:00:31.5,7
9,10, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:12:15.4,+00:00:36.7,7
10,11, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:12:16,+00:00:37.3,7
11,12, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:12:19.5,+00:00:40.8,7
12,13, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:12:20.7,+00:00:42,7
13,14, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:12:22.5,+00:00:43.8,7
14,15, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:12:24,+00:00:45.3,7
15,16, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:12:27.1,+00:00:48.4,7
16,17, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:12:27.7,+00:00:49,7
17,18, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:12:30.3,+00:00:51.6,7
18,19, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:12:36.7,+00:00:58,7
19,20, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:12:37.3,+00:00:58.6,7
20,21, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:12:39.3,+00:01:00.6,7
21,22, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:12:46.8,+00:01:08.1,7
22,23, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:12:46.8,+00:01:08.1,7
23,24, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:12:48.1,+00:01:09.4,7
24,25, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:12:54.2,+00:01:15.5,7
25,26, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:12:59.7,+00:01:21,7
26,27, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:13:00.3,+00:01:21.6,7
27,28, Alessandro GINO Daniele MICHI,Citroen C3,53,00:13:00.5,+00:01:21.8,7
28,29, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:13:02.5,+00:01:23.8,7
29,30, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:13:07.5,+00:01:28.8,7
30,31, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:13:08.4,+00:01:29.7,7
31,32, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,00:13:11.7,+00:01:33,7
32,33, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:13:17.6,+00:01:38.9,7
33,34, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:13:19,+00:01:40.3,7
34,35, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:13:28.9,+00:01:50.2,7
35,36, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:13:30.2,+00:01:51.5,7
36,37, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:13:32.7,+00:01:54,7
37,38, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:13:33.8,+00:01:55.1,7
38,39, Eamonn BOLAND MJ ,Citroen C3,42,00:13:37,+00:01:58.3,7
39,40, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:13:39.9,+00:02:01.2,7
40,41, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:13:42.5,+00:02:03.8,7
41,42, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:13:44.2,+00:02:05.5,7
42,43, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:13:45.2,+00:02:06.5,7
43,44, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:13:46.7,+00:02:08,7
44,45, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:13:48.5,+00:02:09.8,7
45,46, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:13:55.6,+00:02:16.9,7
46,47, Eric ROYERE Gilbert DINI,Alpine A110,64,00:14:01,+00:02:22.3,7
47,48, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:14:11.3,+00:02:32.6,7
48,49, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:14:11.8,+00:02:33.1,7
49,50, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:14:12.2,+00:02:33.5,7
50,51, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:14:13.9,+00:02:35.2,7
51,52, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:14:16.8,+00:02:38.1,7
52,53, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:14:28.6,+00:02:49.9,7
53,54, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:14:33.5,+00:02:54.8,7
54,55, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:14:35.6,+00:02:56.9,7
55,56, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:14:40.1,+00:03:01.4,7
56,57, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:14:43.1,+00:03:04.4,7
57,58, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:15:00.4,+00:03:21.7,7
58,59, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:15:04.4,+00:03:25.7,7
59,60, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:15:05.3,+00:03:26.6,7
60,61, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:15:23,+00:03:44.3,7
61,62, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:15:28.7,+00:03:50,7
62,63, Richard FRAU Stephane MARQUEZ,Alpine A110,63,00:16:06.1,+00:04:27.4,7
63,64, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:16:15.2,+00:04:36.5,7
64,65, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:16:57,+00:05:18.3,7
65,66, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:16:59.5,+00:05:20.8,7
66,67, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:22:10.2,+00:10:31.5,7
67,68, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:22:10.2,+00:10:31.5,7
68,69, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:22:10.2,+00:10:31.5,7
69,70, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:22:10.2,+00:10:31.5,7
70,71, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:23:28.9,+00:11:50.2,7
71,72, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:23:30.2,+00:11:51.5,7
72,73, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:23:30.2,+00:11:51.5,7
73,74, Pierre PERGOLA Fabrice CORONA,Volkswagen Polo GTI,62,,+,7
0,1, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:08:24,+00:00:00,8
1,2, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:08:25.3,+00:00:01.3,8
2,3, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:08:27.1,+00:00:03.1,8
3,4, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:08:28.9,+00:00:04.9,8
4,5, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:08:29.7,+00:00:05.7,8
5,6, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:08:30.5,+00:00:06.5,8
6,7, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:08:33.6,+00:00:09.6,8
7,8, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:08:34.3,+00:00:10.3,8
8,9, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:08:51.3,+00:00:27.3,8
9,10, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:08:51.6,+00:00:27.6,8
10,11, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:08:51.7,+00:00:27.7,8
11,12, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:08:51.9,+00:00:27.9,8
12,13, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:08:52.7,+00:00:28.7,8
13,14, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:08:54.1,+00:00:30.1,8
14,15, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:08:57.8,+00:00:33.8,8
15,16, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:08:58.7,+00:00:34.7,8
16,17, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:08:58.8,+00:00:34.8,8
17,18, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:09:03.3,+00:00:39.3,8
18,19, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:09:06.4,+00:00:42.4,8
19,20, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:09:06.4,+00:00:42.4,8
20,21, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:09:08.9,+00:00:44.9,8
21,22, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:09:09.2,+00:00:45.2,8
22,23, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:09:11.9,+00:00:47.9,8
23,24, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:09:26.1,+00:01:02.1,8
24,25, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:09:35.9,+00:01:11.9,8
25,26, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:09:41.3,+00:01:17.3,8
26,27, Alessandro GINO Daniele MICHI,Citroen C3,53,00:09:43.6,+00:01:19.6,8
27,28, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:09:44.8,+00:01:20.8,8
28,29, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:09:45.1,+00:01:21.1,8
29,30, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:09:50.5,+00:01:26.5,8
30,31, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:09:51.1,+00:01:27.1,8
31,32, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,00:09:52.3,+00:01:28.3,8
32,33, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:09:58.6,+00:01:34.6,8
33,34, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:10:04.6,+00:01:40.6,8
34,35, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:10:06.1,+00:01:42.1,8
35,36, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:10:08.4,+00:01:44.4,8
36,37, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:10:10.2,+00:01:46.2,8
37,38, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:10:13.8,+00:01:49.8,8
38,39, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:10:13.8,+00:01:49.8,8
39,40, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:10:15.7,+00:01:51.7,8
40,41, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:10:19.9,+00:01:55.9,8
41,42, Eric ROYERE Gilbert DINI,Alpine A110,64,00:10:27.8,+00:02:03.8,8
42,43, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:10:28.1,+00:02:04.1,8
43,44, Eamonn BOLAND MJ ,Citroen C3,42,00:10:33.9,+00:02:09.9,8
44,45, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:10:34.2,+00:02:10.2,8
45,46, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:10:35.3,+00:02:11.3,8
46,47, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:10:36.4,+00:02:12.4,8
47,48, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:10:38,+00:02:14,8
48,49, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:10:41.4,+00:02:17.4,8
49,50, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:10:46.3,+00:02:22.3,8
50,51, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:10:51.9,+00:02:27.9,8
51,52, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:10:53.7,+00:02:29.7,8
52,53, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:10:55.4,+00:02:31.4,8
53,54, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:11:09.7,+00:02:45.7,8
54,55, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:11:11,+00:02:47,8
55,56, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:11:13,+00:02:49,8
56,57, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:11:16.7,+00:02:52.7,8
57,58, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:11:20.5,+00:02:56.5,8
58,59, Richard FRAU Stephane MARQUEZ,Alpine A110,63,00:11:44.7,+00:03:20.7,8
