,Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
26,27, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:13:25.8,+00:01:50.1,11
27,28, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:13:27.6,+00:01:51.9,11
28,29, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:13:28.8,+00:01:53.1,11
29,30, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:13:39.7,+00:02:04,11
30,31, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:13:40.4,+00:02:04.7,11
31,32, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:13:42.8,+00:02:07.1,11
32,33, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:13:44.1,+00:02:08.4,11
33,34, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:13:46.5,+00:02:10.8,11
34,35, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:13:51.8,+00:02:16.1,11
35,36, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:13:52.5,+00:02:16.8,11
36,37, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:13:56.3,+00:02:20.6,11
37,38, Eamonn BOLAND MJ ,Citroen C3,42,00:13:56.8,+00:02:21.1,11
38,39, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:13:58.3,+00:02:22.6,11
39,40, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:13:58.9,+00:02:23.2,11
40,41, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:13:59.3,+00:02:23.6,11
41,42, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:14:01.3,+00:02:25.6,11
42,43, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:14:04.1,+00:02:28.4,11
43,44, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:14:07.8,+00:02:32.1,11
44,45, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:14:09.1,+00:02:33.4,11
45,46, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:14:15.1,+00:02:39.4,11
46,47, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:14:16.2,+00:02:40.5,11
47,48, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:14:16.3,+00:02:40.6,11
48,49, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:14:17.3,+00:02:41.6,11
49,50, Eric ROYERE Gilbert DINI,Alpine A110,64,00:14:17.5,+00:02:41.8,11
50,51, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:14:23.8,+00:02:48.1,11
51,52, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:14:27.7,+00:02:52,11
52,53, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:14:29.5,+00:02:53.8,11
53,54, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:14:37.1,+00:03:01.4,11
54,55, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:14:38.9,+00:03:03.2,11
55,56, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:14:47.3,+00:03:11.6,11
56,57, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:14:48.7,+00:03:13,11
57,58, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:15:03.8,+00:03:28.1,11
58,59, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:15:12.9,+00:03:37.2,11
59,60, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:15:13.3,+00:03:37.6,11
60,61, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:15:13.5,+00:03:37.8,11
61,62, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:15:17.5,+00:03:41.8,11
62,63, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:15:21,+00:03:45.3,11
63,64, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:15:31.2,+00:03:55.5,11
64,65, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:15:39.9,+00:04:04.2,11
65,66, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:15:47.9,+00:04:12.2,11
66,67, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:15:47.9,+00:04:12.2,11
67,68, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:15:47.9,+00:04:12.2,11
68,69, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:15:47.9,+00:04:12.2,11
69,70, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:21:35.7,+00:10:00,11
70,71, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:22:11.9,+00:10:36.2,11
71,72, Richard FRAU Stephane MARQUEZ,Alpine A110,63,,+,11
72,73, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,,+,11
0,1, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:09:01.8,+00:00:00,12
1,2, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:09:02.9,+00:00:01.1,12
2,3, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:09:04.7,+00:00:02.9,12
3,4, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:09:05.2,+00:00:03.4,12
4,5, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:09:07.6,+00:00:05.8,12
5,6, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:09:08,+00:00:06.2,12
6,7, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:09:15,+00:00:13.2,12
7,8, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:09:26.8,+00:00:25,12
8,9, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:09:32.8,+00:00:31,12
9,10, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:09:33.5,+00:00:31.7,12
10,11, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:09:33.9,+00:00:32.1,12
11,12, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:09:35.3,+00:00:33.5,12
12,13, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:09:37.2,+00:00:35.4,12
13,14, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:09:39.5,+00:00:37.7,12
14,15, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:09:41.1,+00:00:39.3,12
15,16, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:09:41.9,+00:00:40.1,12
16,17, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:09:44.6,+00:00:42.8,12
17,18, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:09:46.7,+00:00:44.9,12
18,19, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:09:49.1,+00:00:47.3,12
19,20, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:09:52.2,+00:00:50.4,12
