,Crew,ss,Group,Group_Pos
48,Martínez  Jo,9,RC2,23
49,Velanis  V. ,9,RC2,24
50,Laskowski  H,9,RC3,18
51,Vassilakis  ,9,RC2,25
52,Katsuta  T. ,9,RC1,9
53,Kalamaras  T,9,RC4,1
54,Lefkaditis  ,9,RC4,2
55,Martinez  An,9,RC3,19
56,Brazzoli  En,9,RC2,26
57,Parellis  D.,9,RC5,1
58,Cărăgui  Eug,9,RC2,27
59,Gryazin  Nik,9,RC2,28
60,Panteli  Pet,9,RC3,20
61,Amoutzas  G.,9,RC2,29
62,Plagos  Ioan,9,RC4,3
63,Papageorgiou,9,RC4,4
64,Campagnoli  ,9,RC3,21
1,Neuville  T.,10,RC1,1
2,Sordo  Dani ,10,RC1,2
3,Ogier  S. / ,10,RC1,3
4,Tänak  Ott /,10,RC1,4
5,Pajari  Sami,10,RC2,1
6,Virves  Robe,10,RC2,2
7,Rossel  Yoha,10,RC2,3
8,Zaldivar  F.,10,RC2,4
9,Kajetanowicz,10,RC2,5
10,McErlean  Jo,10,RC2,6
11,Linnamäe  Ge,10,RC2,7
12,Daprà  Rober,10,RC2,8
13,Evans  Elfyn,10,RC1,5
14,Solans  Jan ,10,RC2,9
15,Roustemis  P,10,RC2,10
16,Jürgenson  R,10,RC3,1
17,Kremer  Armi,10,RC2,11
18,Maior  Norbe,10,RC3,2
19,Fontana  Mat,10,RC3,3
20,Villanueva  ,10,RC2,12
21,Serderidis  ,10,RC1,6
22,Gill  Taylor,10,RC3,4
23,Borodin  Pet,10,RC3,5
24,Blach  Rober,10,RC2,13
25,Türkkan  Ali,10,RC3,6
26,Soylu  Uğur ,10,RC2,14
27,Granados  Mi,10,RC2,15
28,Karanikolas ,10,RC3,7
29,Bruun  Natan,10,RC3,8
30,Rensonnet  T,10,RC3,9
31,Dominguez  D,10,RC3,10
32,Schwarz  Fab,10,RC3,11
33,Kehagias  G.,10,RC2,16
34,Al-Wahaibi  ,10,RC2,17
35,Caparó  José,10,RC3,12
36,Munster  G. ,10,RC1,7
37,Halkias  E. ,10,RC3,13
38,Joona  Lauri,10,RC2,18
39,Chatzimarkos,10,RC3,14
40,Smart  Max /,10,RC3,15
41,Peralta  J. ,10,RC2,19
42,Fourmaux  Ad,10,RC1,8
43,Pavlidis  N.,10,RC2,20
44,Stefanis  Ma,10,RC3,16
45,Theocharopou,10,RC3,17
46,Martínez  Jo,10,RC2,21
47,Dolofan  C. ,10,RC2,22
48,Velanis  V. ,10,RC2,23
49,Vassilakis  ,10,RC2,24
50,Katsuta  T. ,10,RC1,9
51,Çetinkaya  B,10,RC2,25
52,Kalamaras  T,10,RC4,1
53,Lefkaditis  ,10,RC4,2
54,Laskowski  H,10,RC3,18
55,Parellis  D.,10,RC5,1
56,Martinez  An,10,RC3,19
57,Brazzoli  En,10,RC2,26
58,Cărăgui  Eug,10,RC2,27
59,Gryazin  Nik,10,RC2,28
60,Amoutzas  G.,10,RC2,29
61,Panteli  Pet,10,RC3,20
62,Plagos  Ioan,10,RC4,3
63,Papageorgiou,10,RC4,4
64,Campagnoli  ,10,RC3,21
1,Neuville  T.,11,RC1,1
2,Sordo  Dani ,11,RC1,2
3,Ogier  S. / ,11,RC1,3
4,Tänak  Ott /,11,RC1,4
5,Pajari  Sami,11,RC2,1
6,Virves  Robe,11,RC2,2
7,Rossel  Yoha,11,RC2,3
8,Kajetanowicz,11,RC2,4
9,Linnamäe  Ge,11,RC2,5
10,Zaldivar  F.,11,RC2,6
11,Daprà  Rober,11,RC2,7
12,McErlean  Jo,11,RC2,8
13,Solans  Jan ,11,RC2,9
14,Evans  Elfyn,11,RC1,5
15,Roustemis  P,11,RC2,10
16,Kremer  Armi,11,RC2,11
17,Maior  Norbe,11,RC3,1
18,Serderidis  ,11,RC1,6
19,Fontana  Mat,11,RC3,2
20,Jürgenson  R,11,RC3,3
21,Blach  Rober,11,RC2,12
22,Türkkan  Ali,11,RC3,4
23,Granados  Mi,11,RC2,13
24,Borodin  Pet,11,RC3,5
25,Bruun  Natan,11,RC3,6
26,Rensonnet  T,11,RC3,7
27,Soylu  Uğur ,11,RC2,14
28,Schwarz  Fab,11,RC3,8
29,Caparó  José,11,RC3,9
30,Halkias  E. ,11,RC3,10
31,Villanueva  ,11,RC2,15
32,Joona  Lauri,11,RC2,16
33,Fourmaux  Ad,11,RC1,7
34,Peralta  J. ,11,RC2,17
35,Karanikolas ,11,RC3,11
36,Kehagias  G.,11,RC2,18
37,Chatzimarkos,11,RC3,12
38,Munster  G. ,11,RC1,8
39,Smart  Max /,11,RC3,13
40,Gill  Taylor,11,RC3,14
41,Stefanis  Ma,11,RC3,15
42,Theocharopou,11,RC3,16
43,Pavlidis  N.,11,RC2,19
44,Martínez  Jo,11,RC2,20
45,Katsuta  T. ,11,RC1,9
46,Vassilakis  ,11,RC2,21
47,Velanis  V. ,11,RC2,22
48,Dominguez  D,11,RC3,17
49,Dolofan  C. ,11,RC2,23
50,Lefkaditis  ,11,RC4,1
51,Kalamaras  T,11,RC4,2
52,Çetinkaya  B,11,RC2,24
53,Al-Wahaibi  ,11,RC2,25
54,Laskowski  H,11,RC3,18
55,Parellis  D.,11,RC5,1
56,Brazzoli  En,11,RC2,26
57,Martinez  An,11,RC3,19
58,Amoutzas  G.,11,RC2,27
59,Cărăgui  Eug,11,RC2,28
60,Gryazin  Nik,11,RC2,29
